"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
11;"218660.jpg";"Valderhaug";2745;"a";218660;"Lars";"Valderhaug";35;"";37;NA;NA;"0.0";"0.0";-3;0;3;0;FALSE;0;1;"0.0";378;231;0;5;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2017-11-16;"Lars Valderhaug";"Forsvar";"AAFK"
12;"37417.jpg";"Riise";2745;"a";37417;"Bjørn Helge";"Riise";21;"";56;NA;NA;"0.3";"5.4";-4;0;4;0;FALSE;1;3,3;"1.7";2577;165;2;0;0;0;0;0;30;2;"2.1";"2.0";"2.0";FALSE;1042;1;0;0;27;0;0;3;0;0;3;0;3;1;2017-11-16;"Bjørn Helge Riise";"Midtbane";"AAFK"
13;"62026.jpg";"Carlsen";2745;"a";62026;"Fredrik";"Carlsen";8;"";48;NA;NA;"0.1";"14.7";-2;-1;2;1;FALSE;0;2,8;"0.7";2173;2687;10;0;0;0;0;0;72;0;"2.9";"1.0";"1.0";FALSE;2107;1;4;3;39;0;0;2;0;0;5;0;3;1;2017-11-16;"Fredrik Carlsen";"Midtbane";"AAFK"
14;"87337.jpg";"Gyasi";2745;"a";87337;"Edwin";"Gyasi";14;"";70;NA;NA;"0.6";"13.3";-5;0;5;0;FALSE;1;4,5;"4.0";5880;5100;14;24;0;0;0;0;93;8;"3.7";"4.0";"4.0";FALSE;1908;5;4;3;34;0;0;2;0;0;10;0;3;1;2017-11-16;"Edwin Gyasi";"Midtbane";"AAFK"
15;"97533.jpg";"Thrandarson";2745;"a";97533;"Aron Elís";"Thrandarson";11;"";61;NA;NA;"0.3";"8.9";-4;0;4;0;FALSE;0;0,5;"1.7";586;105;2;1;0;0;0;0;54;1;"2.3";"2.0";"2.0";FALSE;1400;1;2;1;37;0;0;0;0;0;3;0;3;1;2017-11-16;"Aron Elís Thrandarson";"Midtbane";"AAFK"
16;"169515.jpg";"Hoff";2745;"a";169515;"Vebjørn";"Hoff";18;"";46;NA;NA;"0.7";"15.2";-4;0;4;0;FALSE;1;1,2;"3.0";1219;1528;7;2;0;0;0;0;70;0;"2.7";"3.0";"3.0";FALSE;2041;2;2;3;32;0;0;3;0;0;7;1;3;1;2017-11-16;"Vebjørn Hoff";"Midtbane";"AAFK"
17;"194769.jpg";"Brunstad Fet";2745;"a";194769;"Sondre";"Brunstad Fet";17;"";47;NA;NA;"0.2";"8.9";-3;0;3;0;FALSE;0;0,2;"1.0";149;83;0;2;0;0;0;0;42;2;"1.8";"1.0";"1.0";FALSE;1164;0;1;2;16;0;0;0;0;0;1;0;3;1;2017-11-16;"Sondre Brunstad Fet";"Midtbane";"AAFK"
18;"204273.jpg";"Marlinho";2745;"a";204273;"Marlon Matheus";"da Silva";15;"";51;NA;NA;"0.0";"3.1";-4;0;4;0;FALSE;0;0,4;"0.0";225;20;0;0;0;0;0;0;16;0;"1.8";"0.0";"0.0";FALSE;517;0;1;1;7;0;0;2;0;0;0;0;3;1;2017-11-16;"Marlon Matheus da Silva";"Midtbane";"AAFK"
19;"207864.jpg";"Hatlehol";2745;"a";207864;"Jørgen";"Hatlehol";38;"";42;NA;NA;"0.2";"2.6";-3;0;3;0;FALSE;0;0,5;"1.0";206;63;1;0;0;0;0;0;11;1;"1.4";"1.0";"1.0";FALSE;362;0;0;0;7;0;0;1;0;0;0;0;3;1;2017-11-16;"Jørgen Hatlehol";"Midtbane";"AAFK"
20;"223090.jpg";"Waagan";2745;"a";223090;"Anders";"Waagan";33;"";41;NA;NA;"0.0";"0.2";-4;0;4;0;FALSE;0;0,5;"0.0";234;71;2;2;0;0;0;0;1;0;"1.0";"0.0";"0.0";FALSE;3;0;0;0;0;0;0;0;0;0;0;0;3;1;2017-11-16;"Anders Waagan";"Midtbane";"AAFK"
